original 	 predicted
5414.450000000001	5371.752525930788
2111.73	2147.1413637005107
4110.86	4057.369473981881
5017.360000000001	4874.952027206038
3738.51	3675.825054838314
2413.55	2287.179987548482
5436.88	5464.341980077083
4355.92	4363.760677011963
2024.51	1950.1109670883284
3300.12	3220.467550417645
6245.18	6349.990539667267
5909.73	6099.743152629127
2654.46	2565.1899877901833
2484.96	2367.569446819047
3672.29	3664.8874717498766
5621.0	5779.499522611772
2107.66	2105.2457210872194
4078.3999999999996	4055.8064655629296
4977.84	4853.331958709585
5611.23	5764.5670547421105
6094.87	6210.948231937447
2545.24	2496.4189294156845
3063.55	2990.175658024368
2588.19	2487.473943294115
3819.8199999999997	3739.1553374513496
4260.53	4191.521819387104
3979.1499999999996	3923.8670828573904
4687.82	4712.038048495398
3226.05	3071.0158109589047
1683.63	1813.8401554142806
6011.02	6041.427461949376
2384.41	2408.7415190411602
4720.58	5071.820373985031
4547.82	4410.204634386029
2110.13	2125.723694545611
2099.1	2085.663725501124
2983.61	2980.709888103289
2928.11	2846.687514840697
2553.33	2465.2807804701233
4071.7299999999996	3853.0002880045304
2927.26	2902.962267939046
1891.3	1968.805397250648
2261.61	2136.451071157723
1860.57	1888.7110647091115
2864.24	2722.9944017926136
5529.53	5586.751403276712
4422.22	4238.774637389143
4555.88	4570.733975630069
2792.27	2816.312832223349
4905.55	4947.886965078365
3347.5	3540.0705328498084
4272.72	4255.243780207584
4634.29	4612.893139201519
1826.08	1869.4366218097891
2620.27	2526.588289205556
2015.06	1984.514163903054
3401.42	3381.6612020834946
4701.28	4737.473041346017
2221.16	2179.2427886174078
1874.52	1892.4924874623268
3854.3499999999995	3780.660205250725
3177.33	3094.1541012176813
2290.13	2161.011943935355
2810.69	2669.8050202503123
6831.87	6657.441868450854
4584.380000000001	4649.609166166176
6012.87	6125.40246545179
4932.18	4831.765587128768
3914.74	3876.747502671441
2055.25	2031.8532727817537
5099.53	4977.427454656186
3372.41	3281.5082468428664
3990.55	3934.994777282738
3362.1400000000003	3333.1175143824667
4535.03	4350.607831475789
3076.49	3144.830211073535
4428.65	4525.47623567726
1675.16	1805.7694547427598
6604.63	6498.805207736818
2299.16	2257.7026341590526
3537.3999999999996	3464.3757913850554
3335.45	3303.3219913735566
7255.22	6799.684231814705
6601.37	6561.650131361553
1957.51	1942.4414369272076
3755.6099999999997	3955.6942460543514
4135.26	3963.5909991715407
5183.31	5095.811062790594
2686.52	2603.3095181606845
5823.6	5929.848658764951
3998.5	3986.2002941313785
4029.3999999999996	4014.0442455111397
3737.9399999999996	3670.701291779939
3012.15	2925.2013174852354
2597.17	2533.1211343788186
5374.17	5432.686210127663
3934.3999999999996	3919.2666940423615
2055.79	1971.9845279495962
2541.98	2483.060952393455
4469.14	4348.656899366116
2757.12	2669.8531522757366
7094.76	6774.517617968474
2726.64	2563.4757691364834
2359.34	2311.4452424665596
5518.44	5485.199517618758
3927.2799999999997	3853.1525009365887
2494.59	2463.7060471233735
5707.36	5961.49511667414
1996.27	1969.9642572860844
6913.55	6681.556017391944
5213.25	5358.728810487529
5044.97	5206.172373599292
2637.73	2588.615480203757
5919.28	6031.566921065886
5353.22	5340.642387519975
4703.02	4776.714938476546
3897.8599999999997	3828.1646573723947
1849.71	1954.112825574929
6682.03	6598.025238462572
2863.83	2854.4578518472426
5497.43	5755.621205460428
4346.19	4258.552852954237
2120.8	2179.1746582376986
1851.07	1880.8330557881955
3065.99	3221.18161194181
5727.92	5808.321246231657
4265.8	4350.673223210082
3124.13	3060.8719929774866
3422.18	3382.149836300743
4899.39	4793.094043898833
5356.86	5574.472452885642
7261.37	6821.728865397562
4147.68	4094.465022845304
error	4.186447134795285%